,time,p_infected,p_infected_comm1,p_infected_comm2,p_infected_comm3,p_infected_and_recovered,p_infected_and_recovered_comm1,p_infected_and_recovered_comm2,p_infected_and_recovered_comm3
0,0,0.1,0.13,0.06,0.11,0.1,0.13,0.06,0.11
1,1,0.10333333333333333,0.14,0.06,0.11,0.10333333333333333,0.14,0.06,0.11
2,2,0.10333333333333333,0.14,0.06,0.11,0.10333333333333333,0.14,0.06,0.11
3,3,0.10666666666666667,0.15,0.06,0.11,0.10666666666666667,0.15,0.06,0.11
4,4,0.12666666666666668,0.2,0.06,0.12,0.12666666666666668,0.2,0.06,0.12
5,5,0.12666666666666668,0.2,0.06,0.12,0.12666666666666668,0.2,0.06,0.12
6,6,0.14,0.22,0.06,0.14,0.14,0.22,0.06,0.14
7,7,0.14333333333333334,0.23,0.06,0.14,0.14333333333333334,0.23,0.06,0.14
8,8,0.04666666666666667,0.11,0.0,0.03,0.14666666666666667,0.24,0.06,0.14
9,9,0.056666666666666664,0.13,0.01,0.03,0.16,0.27,0.06999999999999999,0.14
10,10,0.06333333333333334,0.14,0.01,0.04,0.16666666666666669,0.28,0.06999999999999999,0.15
11,11,0.06666666666666667,0.14,0.02,0.04,0.17333333333333334,0.29000000000000004,0.08,0.15
12,12,0.056666666666666664,0.12,0.02,0.03,0.18333333333333335,0.32,0.08,0.15
13,13,0.06,0.13,0.02,0.03,0.18666666666666668,0.33,0.08,0.15
14,14,0.056666666666666664,0.12,0.03,0.02,0.19666666666666668,0.33999999999999997,0.09,0.16
15,15,0.06666666666666667,0.12,0.05,0.03,0.21000000000000002,0.35,0.11,0.17
16,16,0.07,0.12,0.05,0.04,0.21666666666666667,0.36,0.11,0.18000000000000002
17,17,0.06333333333333334,0.11,0.04,0.04,0.22333333333333333,0.38,0.11000000000000001,0.18000000000000002
18,18,0.06333333333333334,0.11,0.05,0.03,0.22999999999999998,0.39,0.12000000000000001,0.18
19,19,0.06666666666666667,0.13,0.04,0.03,0.24,0.42,0.12,0.18
20,20,0.056666666666666664,0.1,0.04,0.03,0.24,0.42000000000000004,0.12,0.18
21,21,0.05333333333333334,0.09,0.04,0.03,0.24000000000000002,0.42000000000000004,0.12,0.18
22,22,0.04666666666666667,0.09,0.03,0.02,0.24333333333333332,0.43000000000000005,0.12,0.18
23,23,0.03333333333333333,0.08,0.01,0.01,0.24333333333333332,0.43,0.12,0.18000000000000002
24,24,0.03,0.08,0.01,0.0,0.24666666666666667,0.44,0.12,0.18
25,25,0.023333333333333334,0.06,0.01,0.0,0.24666666666666667,0.44,0.12,0.18
26,26,0.016666666666666666,0.05,0.0,0.0,0.24666666666666667,0.44,0.12,0.18
27,27,0.006666666666666667,0.02,0.0,0.0,0.24666666666666665,0.44,0.12,0.18
28,28,0.013333333333333334,0.03,0.01,0.0,0.2533333333333333,0.44999999999999996,0.13,0.18
29,29,0.013333333333333334,0.03,0.01,0.0,0.2533333333333333,0.44999999999999996,0.13,0.18
30,30,0.01,0.02,0.01,0.0,0.25333333333333335,0.45,0.13,0.18
31,31,0.013333333333333334,0.03,0.01,0.0,0.25666666666666665,0.45999999999999996,0.13,0.18
32,32,0.01,0.02,0.01,0.0,0.25666666666666665,0.46,0.13,0.18
33,33,0.01,0.02,0.01,0.0,0.25666666666666665,0.46,0.13,0.18
34,34,0.01,0.02,0.01,0.0,0.25666666666666665,0.46,0.13,0.18
35,35,0.01,0.02,0.01,0.0,0.25666666666666665,0.46,0.13,0.18
36,36,0.0033333333333333335,0.01,0.0,0.0,0.2566666666666667,0.46,0.13,0.18
37,37,0.0033333333333333335,0.01,0.0,0.0,0.2566666666666667,0.46,0.13,0.18
38,38,0.0033333333333333335,0.01,0.0,0.0,0.2566666666666667,0.46,0.13,0.18
39,39,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
40,40,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
41,41,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
42,42,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
43,43,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
44,44,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
45,45,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
46,46,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
47,47,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
48,48,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
49,49,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
50,50,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
51,51,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
52,52,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
53,53,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
54,54,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
55,55,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
56,56,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
57,57,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
58,58,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
59,59,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
60,60,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
61,61,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
62,62,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
63,63,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
64,64,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
65,65,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
66,66,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
67,67,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
68,68,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
69,69,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
70,70,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
71,71,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
72,72,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
73,73,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
74,74,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
75,75,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
76,76,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
77,77,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
78,78,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
79,79,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
80,80,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
81,81,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
82,82,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
83,83,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
84,84,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
85,85,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
86,86,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
87,87,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
88,88,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
89,89,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
90,90,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
91,91,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
92,92,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
93,93,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
94,94,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
95,95,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
96,96,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
97,97,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
98,98,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
99,99,0.0,0.0,0.0,0.0,0.25666666666666665,0.46,0.13,0.18
